gen,inst,n,stop_reason,best_objective,coverage,time_taken
1,1,200,time_limit,4614.250000000011,1.0,1800.1471870001405
1,2,200,time_limit,4668.0700000000015,1.0,1800.006750700064
1,3,50,time_limit,645.6200000000003,1.0,1800.0002372998279
1,4,25,time_limit,261.0600000000003,1.0,1800.0000167000107
1,5,100,time_limit,1525.4800000000025,1.0,1800.0052362999413
2,1,50,time_limit,575.8700000000013,1.0,1800.0004380999599
2,2,400,time_limit,14472.640000000005,1.0,1800.3019651998766
2,3,25,time_limit,210.16000000000014,1.0,1800.0000435998663
2,4,400,time_limit,13589.310000000112,1.0,1800.070601399988
2,5,100,time_limit,1550.4900000000014,1.0,1800.0046176000033
3,1,400,time_limit,238058.8699999995,1.0,1800.4727058000863
3,2,100,time_limit,14887.430000000042,1.0,1800.0058218999766
3,3,200,time_limit,59765.97000000017,1.0,1800.0512702001724
3,4,25,time_limit,981.0500000000004,1.0,1800.0000890998635
3,5,25,time_limit,766.7100000000011,1.0,1800.0000570998527
